chr	host_loc	hpv_loc	reads	sample	pvalue
chr8	127886048	4667	1310	sample8	7.63358778625954e-06
chr8	127874880	5296	563	sample8	1.77619893428064e-05
chr8	127727167	2354	415	sample19	2.40963855421687e-05
chr8	127886058	5296	292	sample2	3.42465753424658e-05
chr8	127884965	3224	122	sample19	8.19672131147541e-05
chr8	127882447	2102	88	sample3	0.000113636363636364
chr8	127740814	5307	61	sample11	0.000163934426229508
chr8	127885269	3763	66	sample18	0.000151515151515152
chr8	127877991	7035	32	sample7	0.0003125
chr8	127748887	2096	4	sample9	0.0025
chr15	90211860	6392	226	sample14	4.42477876106195e-05
chr15	90220065	6868	68	sample18	0.000147058823529412
chr15	90209669	4104	33	sample6	0.000303030303030303
chr15	90371392	1634	17	sample10	0.000588235294117647
chr21	10009904	6788	3	sample6	0.00333333333333333
chr14	37626298	2219	554	sample16	1.80505415162455e-05
chr14	37581753	1970	260	sample2	3.84615384615385e-05
chr17	45308323	2370	30	sample13	0.000333333333333333
chr17	45308174	5359	12	sample4	0.000833333333333333
chr17	11064556	6349	6	sample14	0.00166666666666667
chr17	11063400	1854	6	sample18	0.00166666666666667
chr9	5468561	7771	303	sample8	3.3003300330033e-05
chr9	5467584	4778	136	sample1	7.35294117647059e-05
chr9	5468566	6669	25	sample18	4e-04
chr4	55058133	2683	3	sample20	0.00333333333333333
chr10	125616552	6227	3	sample13	0.00333333333333333
GL000219.1	112552	4027	3	sample16	0.00333333333333333
chr4	170473087	7189	3	sample11	0.00333333333333333
chr3	88551783	596	3	sample1	0.00333333333333333
chr7	102704468	2237	49	sample11	0.000204081632653061
chr8	127485997	7763	49	sample7	0.000204081632653061
chr8	127485969	6241	43	sample14	0.000232558139534884
chr7	102524707	3801	48	sample16	0.000208333333333333
chr14	67813460	253	26	sample7	0.000384615384615385
chr14	67813468	108	17	sample18	0.000588235294117647
chr2	233832844	2522	18	sample5	0.000555555555555556
chr2	42016030	1765	12	sample6	0.000833333333333333
chr18	31534173	6023	5	sample13	0.002
chr18	31537529	2458	6	sample17	0.00166666666666667
chr14	67813468	3302	3	sample12	0.00333333333333333
chr17	59271343	6210	3	sample6	0.00333333333333333
chr9	109017935	2749	120	sample14	8.33333333333333e-05
KN538364.1	304110	4493	77	sample2	0.00012987012987013
KN538364.1	304145	6525	49	sample18	0.000204081632653061
chr9	5466246	3692	35	sample7	0.000285714285714286
chr9	109017946	5537	30	sample12	0.000333333333333333
chr9	5500708	3818	22	sample14	0.000454545454545455
chr9	109008625	3650	6	sample9	0.00166666666666667
chr7	82400255	2894	3	sample15	0.00333333333333333
chr9	108978116	6143	3	sample4	0.00333333333333333
GL383564.2	108718	7003	184	sample16	5.43478260869565e-05
chr20	14331798	5726	5	sample1	0.002
chr20	38352328	4876	6	sample3	0.00166666666666667
GL383564.2	108707	4123	5	sample18	0.002
chr19	43869815	3725	4	sample7	0.0025
chr1	101713796	7243	3	sample7	0.00333333333333333
chr1	93152446	967	3	sample16	0.00333333333333333
chr19	43796632	3288	3	sample8	0.00333333333333333
chr20	38352289	5112	1	sample11	0.01
chr3	197764362	2012	61	sample12	0.000163934426229508
chr3	197710557	2132	19	sample16	0.000526315789473684
chr5	135034798	4205	3	sample8	0.00333333333333333
chr12	114757666	3122	2093	sample11	4.77783086478739e-06
chr14	50700452	3337	1165	sample10	8.58369098712446e-06
chr14	50700290	1895	962	sample15	1.03950103950104e-05
chr12	114763980	7815	821	sample5	1.21802679658953e-05
chr14	50710576	6355	732	sample2	1.36612021857923e-05
chr3	102319314	4911	541	sample18	1.84842883548983e-05
ML143380.1	101008	6470	730	sample13	1.36986301369863e-05
chr14	50697800	6021	461	sample16	2.16919739696312e-05
chr3	102330679	4557	454	sample8	2.20264317180617e-05
chr14	50709304	4629	250	sample4	4e-05
ML143380.1	15398	130	152	sample2	6.57894736842105e-05
chr9	61611782	1067	177	sample16	5.64971751412429e-05
chr14	50714214	1895	189	sample9	5.29100529100529e-05
ML143380.1	89191	603	129	sample4	7.75193798449612e-05
chr8	41483136	6664	174	sample14	5.74712643678161e-05
chr8	41450705	5618	128	sample19	7.8125e-05
chr12	114764000	3551	134	sample2	7.46268656716418e-05
chr18	31901209	1434	100	sample8	1e-04
chr3	102327868	4957	95	sample10	0.000105263157894737
chr11	58294863	707	61	sample7	0.000163934426229508
chr3	102317345	172	80	sample9	0.000125
chr9	61628857	3469	64	sample18	0.00015625
chr9	65570385	5347	74	sample11	0.000135135135135135
chr3	52201963	3124	34	sample2	0.000294117647058824
chr18	57328531	2059	35	sample3	0.000285714285714286
chr11	58293825	571	23	sample9	0.000434782608695652
chr9	61644868	138	29	sample10	0.000344827586206897
chr18	57285561	7200	25	sample11	4e-04
chr3	52201940	4279	16	sample14	0.000625
chr3	102279327	2533	8	sample17	0.00125
chr3	102320257	611	10	sample7	0.001
chr3	102320228	172	9	sample20	0.00111111111111111
chr9	61634682	5341	12	sample19	0.000833333333333333
chr3	102312597	5204	8	sample17	0.00125
KI270519.1	1464	55	6	sample5	0.00166666666666667
chr3	102281552	5889	6	sample4	0.00166666666666667
chr18	57328531	5797	8	sample7	0.00125
chr11	103019554	923	4	sample19	0.0025
chr12	114760200	7516	7	sample18	0.00142857142857143
chr8	96557058	240	3	sample2	0.00333333333333333
chr3	102280349	4556	4	sample5	0.0025
chr2	147932162	1896	3	sample20	0.00333333333333333
chr8	62760744	2407	3	sample7	0.00333333333333333
chr20	17277927	6759	3	sample6	0.00333333333333333
chr18	57285547	7360	5	sample8	0.002
chr3	102249427	3696	4	sample18	0.0025
chr5	7050531	3072	3	sample3	0.00333333333333333
chr14	25207329	7125	3	sample1	0.00333333333333333
chr3	102313953	1377	3	sample19	0.00333333333333333
chr3	102297576	349	4	sample8	0.0025
chr3	102285680	7416	3	sample4	0.00333333333333333
chr1	51424570	4406	3	sample3	0.00333333333333333
chr14	68870623	7110	3	sample1	0.00333333333333333
chr11	130972182	7120	3	sample11	0.00333333333333333
chr16	24512876	7102	3	sample5	0.00333333333333333
chr8	123598691	7001	3	sample12	0.00333333333333333
chr5	110587687	7199	3	sample5	0.00333333333333333
chrX	117841673	2121	3	sample5	0.00333333333333333
chr8	115320696	3497	3	sample4	0.00333333333333333
ML143377.1	508383	2066	18	sample13	0.000555555555555556
ML143377.1	444166	2757	14	sample5	0.000714285714285714
chr2	46820569	1001	3	sample9	0.00333333333333333
chr1	46836145	6942	3	sample8	0.00333333333333333
chr7	8674201	7253	3	sample10	0.00333333333333333
chrY	56767540	915	3	sample4	0.00333333333333333
chrY	57216874	4850	3	sample13	0.00333333333333333
chr12	96459034	4399	3	sample7	0.00333333333333333
chr9	5510468	1786	8179	sample12	1.22264335493337e-06
chr9	5519382	2584	7252	sample15	1.37892995035852e-06
chr9	5862007	1169	1991	sample6	5.02260170768458e-06
chr3	62200766	4801	511	sample1	1.95694716242661e-05
chr3	62209584	5614	376	sample14	2.65957446808511e-05
chr9	5477930	2949	238	sample11	4.20168067226891e-05
chr9	5468220	7434	191	sample13	5.23560209424084e-05
chr13	31746570	2721	134	sample2	7.46268656716418e-05
chr1	38047703	5639	101	sample2	9.9009900990099e-05
chr6	7242018	7061	27	sample9	0.00037037037037037
chr9	5875895	1728	24	sample12	0.000416666666666667
chr9	5874358	2584	31	sample9	0.00032258064516129
chr1	38047688	1378	23	sample12	0.000434782608695652
chr9	5502743	6123	16	sample17	0.000625
chr3	62223252	2253	25	sample1	4e-04
chr9	5458199	67	15	sample20	0.000666666666666667
chr9	5515918	1237	19	sample17	0.000526315789473684
chr9	5873526	3254	13	sample14	0.000769230769230769
chr6	7242026	2550	17	sample11	0.000588235294117647
chr1	230297802	2501	6	sample19	0.00166666666666667
chr20	56109599	4983	4	sample3	0.0025
chr2	44260912	1352	5	sample10	0.002
chr10	54825132	7191	3	sample19	0.00333333333333333
chrX	127793669	3484	4	sample5	0.0025
chr9	5465960	1652	11	sample4	0.000909090909090909
chr20	39183004	2442	5	sample10	0.002
chr2	41273086	589	3	sample16	0.00333333333333333
chr3	6101218	4500	4	sample15	0.0025
chr6	103654846	6064	3	sample20	0.00333333333333333
chr14	46678433	4788	4	sample19	0.0025
chr20	7491253	6726	5	sample1	0.002
chr4	57790423	1286	3	sample11	0.00333333333333333
chr2	179735841	2835	4	sample1	0.0025
chr4	57896699	4243	4	sample4	0.0025
chr1	48461841	5001	3	sample12	0.00333333333333333
chr19	27077230	3814	4	sample2	0.0025
chrX	13972964	1419	4	sample20	0.0025
chrX	155302615	1501	3	sample6	0.00333333333333333
chr11	109177585	6501	3	sample19	0.00333333333333333
chr2	218825488	3457	4	sample7	0.0025
chr20	29028311	3500	3	sample7	0.00333333333333333
chr15	38674192	2160	3	sample16	0.00333333333333333
chr9	5516081	3065	6	sample19	0.00166666666666667
chr19	25105600	3339	3	sample15	0.00333333333333333
chr7	20537117	3421	3	sample13	0.00333333333333333
chr13	48016752	2501	3	sample13	0.00333333333333333
chr15	36118791	2001	3	sample5	0.00333333333333333
chr18	60016810	1085	3	sample9	0.00333333333333333
chr2	5837692	500	3	sample13	0.00333333333333333
chr4	66995843	1000	3	sample11	0.00333333333333333
chr2	238980629	2501	3	sample10	0.00333333333333333
chr1	244325643	804	3	sample7	0.00333333333333333
chr8	64765009	4833	3	sample6	0.00333333333333333
chr3	132049918	7116	3	sample17	0.00333333333333333
chrX	146471194	1340	3	sample11	0.00333333333333333
chr21	14648283	6501	3	sample8	0.00333333333333333
chr8	48797805	1183	3	sample3	0.00333333333333333
chr2	172526923	7245	4	sample1	0.0025
chr16	23303661	2112	3	sample7	0.00333333333333333
chr12	70682034	2501	3	sample20	0.00333333333333333
chr18	70094789	7118	3	sample15	0.00333333333333333
chrX	25330350	507	3	sample11	0.00333333333333333
chr6	147056852	810	4	sample12	0.0025
chr17	68314545	3572	3	sample8	0.00333333333333333
chr6	118991754	4583	3	sample14	0.00333333333333333
chr10	51513038	7189	3	sample19	0.00333333333333333
chr22	35441002	2858	3	sample12	0.00333333333333333
chr9	5458877	1354	1	sample3	0.01
chr2	14300539	3503	3	sample12	0.00333333333333333
chr1	125180391	3145	7	sample3	0.00142857142857143
chr2	233854165	1877	3	sample19	0.00333333333333333
chr4	106639482	1382	3	sample1	0.00333333333333333
chr4	19732	2791	3	sample16	0.00333333333333333
chr1	143247021	6929	3	sample15	0.00333333333333333
chr2	233853869	6439	2	sample14	0.005
chr14	99036962	2656	76	sample15	0.000131578947368421
chr14	99035680	1382	21	sample1	0.000476190476190476
chr14	98856362	1266	11	sample4	0.000909090909090909
chr14	99036972	3746	12	sample15	0.000833333333333333
ML143377.1	452695	7245	3	sample7	0.00333333333333333
chr5	158701277	2752	3	sample13	0.00333333333333333
chr10	131020386	5534	3	sample6	0.00333333333333333
chr11	102465008	5600	29	sample19	0.000344827586206897
chr11	102465018	5435	3	sample3	0.00333333333333333
chr11	39564273	7007	25	sample14	4e-04
chr9	5526526	145	8	sample15	0.00125
chr9	5801246	7834	5	sample11	0.002
chr21	9576669	5533	7	sample10	0.00142857142857143
chr11	121636049	4217	48	sample1	0.000208333333333333
chr11	121636058	3573	39	sample9	0.000256410256410256
chrX	52763204	2686	22	sample12	0.000454545454545455
chrX	52763120	2658	7	sample7	0.00142857142857143
chr2	108484515	2541	3	sample10	0.00333333333333333
chrX	81972151	7189	4	sample9	0.0025
chr5	148613308	6258	3	sample12	0.00333333333333333
chrX	128945498	7001	3	sample13	0.00333333333333333
chr6	41358171	7531	3	sample1	0.00333333333333333
chr4	124286107	1000	3	sample15	0.00333333333333333
chr3	83594621	1804	37	sample12	0.00027027027027027
chrY	13181917	2473	4	sample4	0.0025
chr12	67844679	5950	3	sample15	0.00333333333333333
chr2	75083289	3878	3	sample2	0.00333333333333333
chr6	54967041	2846	4	sample1	0.0025
chr7	83989469	5009	4	sample1	0.0025
chr9	12446439	5637	3	sample16	0.00333333333333333
chr9	7867769	3114	3	sample17	0.00333333333333333
chr15	88101531	610	4	sample17	0.0025
chr14	83641864	6001	3	sample5	0.00333333333333333
chr12	124958495	1848	4	sample12	0.0025
chr6	85759728	6217	5	sample19	0.002
chrX	155518526	2790	3	sample20	0.00333333333333333
chr5	97295201	5000	3	sample9	0.00333333333333333
chr3	107149568	7636	4	sample16	0.0025
chr5	117492432	4485	3	sample11	0.00333333333333333
chr12	65981602	5170	3	sample17	0.00333333333333333
chr10	83901060	491	3	sample14	0.00333333333333333
chr1	147861016	1355	3	sample12	0.00333333333333333
chr4	98320526	5996	3	sample14	0.00333333333333333
chr12	23076213	2046	3	sample3	0.00333333333333333
KZ208920.1	220345	596	3	sample20	0.00333333333333333
chrM	15000	2349	3	sample12	0.00333333333333333
chr10	42670853	83	3	sample14	0.00333333333333333
chr6	45672458	6641	3	sample19	0.00333333333333333
chr9	18199013	4194	3	sample2	0.00333333333333333
chr1	200861669	228	3	sample10	0.00333333333333333
